OID_,LAT,LONG,SymbolID,B04,B05,B06
93,19.8423153,105.3507064,0,0.0764,0.101,0.1142
94,19.84224302,105.3506379,0,0.0638,0.0906,0.1014
95,19.842240887,105.350602512,0,0.0638,0.0906,0.1014
96,19.84229033,105.3506944,0,0.0764,0.101,0.1142
97,19.842245549,105.3506551,0,0.0498,0.092,0.0834
98,19.84229856,105.3506771,0,0.0764,0.101,0.1142
99,19.84225902,105.3506965,0,0.0764,0.101,0.1142
100,19.84299063,105.3515034,0,0.0666,0.0866,0.1009
101,19.84302418,105.3515292,0,0.0666,0.0866,0.1009
102,19.8429572,105.3514461,0,0.0463,0.0636,0.057
103,19.84296181,105.351460421,0,0.0524,0.0764,0.079
104,19.84300203,105.3515163,0,0.0666,0.0866,0.1009
105,19.8429811,105.3515158,0,0.0666,0.0866,0.1009
106,19.84303191,105.3516206,0,0.0588,0.0863,0.1086
107,19.84294633,105.3514881,0,0.0524,0.0764,0.079
108,19.84299869,105.3514982,0,0.0666,0.0866,0.1009
109,19.84295404,105.3514934,0,0.0524,0.0764,0.079
110,19.84294759,105.3515173,0,0.0524,0.0764,0.079
111,19.84299642,105.3515688,0,0.0588,0.0863,0.1086
112,19.84299468,105.3515314,0,0.0666,0.0866,0.1009
113,19.842997821,105.3514454,0,0.0588,0.0794,0.0738
114,19.84297624,105.3515615,0,0.0588,0.0863,0.1086
115,19.84301162,105.351621638,0,0.0588,0.0863,0.1086
116,19.84298251,105.3514672,0,0.0666,0.0866,0.1009
117,19.84299251,105.351515,0,0.0666,0.0866,0.1009
118,19.84300651,105.3514685,0,0.0666,0.0866,0.1009
119,19.84302133,105.3516002,0,0.0588,0.0863,0.1086
120,19.84303175,105.3516016,0,0.0588,0.0863,0.1086
121,19.84302724,105.351569695,0,0.0588,0.0863,0.1086
122,19.84297083,105.351452113,0,0.0524,0.0764,0.079
123,19.84293779,105.3514969,0,0.0524,0.0764,0.079
124,19.843022128,105.3515314,0,0.0666,0.0866,0.1009
125,19.84301738,105.351539386,0,0.0666,0.0866,0.1009
126,19.84300309,105.3515788,0,0.0588,0.0863,0.1086
127,19.84296873,105.3514533,0,0.0524,0.0764,0.079
128,19.84294586,105.3514917,0,0.0524,0.0764,0.079
129,19.84300534,105.3515592,0,0.0588,0.0863,0.1086
130,19.84297099,105.3515054,0,0.0524,0.0764,0.079
131,19.84299484,105.3516148,0,0.0588,0.0863,0.1086
132,19.84297753,105.3514691,0,0.0666,0.0866,0.1009
133,19.84298685,105.3515291,0,0.0666,0.0866,0.1009
134,19.84301812,105.3516053,0,0.0588,0.0863,0.1086
135,19.84300874,105.3515912,0,0.0588,0.0863,0.1086
136,19.84299559,105.351579,0,0.0588,0.0863,0.1086
137,19.84302447,105.3515817,0,0.0588,0.0863,0.1086
138,19.84298918,105.3515448,0,0.0588,0.0863,0.1086
139,19.84298541,105.3514512,0,0.0588,0.0794,0.0738
