label,Long,Lat,B2,B3,B4,B5,B8,B8A,B11,B12
open water,105.42254005200004,19.91146739800007,0.0592,0.0908,0.076,0.1128,0.1372,0.1939,0.1335,0.0927
open water,105.42275381500008,19.91138839100006,0.043,0.0772,0.0503,0.0494,0.0358,0.0387,0.0522,0.0348
open water,105.42244896600003,19.91133130000003,0.0486,0.0822,0.0546,0.0719,0.0385,0.0762,0.0827,0.0525
open water,105.42253662500008,19.911476244000028,0.0592,0.0908,0.076,0.1128,0.1372,0.1939,0.1335,0.0927
open water,105.42240739500004,19.91140252200006,0.0498,0.0858,0.0594,0.0719,0.0752,0.0762,0.0827,0.0525
open water,105.42205341000005,19.911397824000066,0.0714,0.1068,0.138,0.1499,0.1948,0.2032,0.2183,0.1528
open water,105.42228873700007,19.91116968900008,0.058,0.0995,0.115,0.1796,0.1574,0.2098,0.2521,0.1777
open water,105.42283806000006,19.911454038000045,0.0468,0.0782,0.0571,0.0982,0.0658,0.1534,0.1023,0.0718
open water,105.42268123200004,19.911358713000027,0.0449,0.0789,0.0474,0.052,0.0484,0.0472,0.0627,0.0381
open water,105.42254004100003,19.91141772700007,0.0437,0.0783,0.0498,0.052,0.0532,0.0472,0.0627,0.0381
open water,105.42213705200004,19.91141936200006,0.0538,0.0942,0.1192,0.1499,0.1334,0.2032,0.2183,0.1528
open water,105.42213999000006,19.91135204700004,0.0538,0.0942,0.1192,0.1499,0.1334,0.2032,0.2183,0.1528
open water,105.42228236200005,19.91127107500005,0.0502,0.0833,0.0782,0.1002,0.0526,0.1074,0.0988,0.0768
open water,105.42268539900004,19.911324447000027,0.0443,0.081,0.0496,0.052,0.0353,0.0472,0.0627,0.0381
open water,105.42259411700007,19.911421879000045,0.0437,0.0783,0.0498,0.052,0.0532,0.0472,0.0627,0.0381
open water,105.42233375200004,19.911360450000075,0.0498,0.0858,0.0594,0.0719,0.0752,0.0762,0.0827,0.0525
open water,105.42215281800009,19.91130150600003,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42299337500005,19.911303916000065,0.0465,0.08,0.0582,0.0651,0.0382,0.0469,0.0508,0.0304
open water,105.42275128500006,19.91116875200004,0.0547,0.0858,0.0552,0.1367,0.0946,0.1635,0.1601,0.1067
open water,105.42218337800004,19.911290248000057,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42220272900003,19.911432556000022,0.0656,0.1034,0.1108,0.1404,0.1682,0.2205,0.154,0.1249
open water,105.42250724500008,19.91118691100008,0.0535,0.0857,0.057,0.1388,0.0881,0.1787,0.199,0.1367
open water,105.42297245900004,19.91120854700005,0.0559,0.0876,0.0698,0.1442,0.1779,0.1997,0.2002,0.1376
open water,105.42210861800004,19.91143629100004,0.0665,0.1116,0.118,0.1648,0.1809,0.2308,0.2049,0.1501
open water,105.42311322500008,19.911270992000027,0.0473,0.0825,0.0628,0.0853,0.0809,0.1666,0.1316,0.0753
open water,105.42286432600008,19.91153294800005,0.0623,0.0973,0.0937,0.0982,0.182,0.1534,0.1023,0.0718
open water,105.42299791100004,19.91118076900005,0.0559,0.0876,0.0698,0.1442,0.1779,0.1997,0.2002,0.1376
open water,105.42254932600008,19.911311416000046,0.0465,0.0814,0.0501,0.052,0.0329,0.0472,0.0627,0.0381
open water,105.42293765800008,19.91128796000004,0.045,0.076,0.0518,0.0651,0.0356,0.0469,0.0508,0.0304
open water,105.42275372000006,19.911518270000045,0.0696,0.1078,0.1034,0.0982,0.2228,0.1534,0.1023,0.0718
open water,105.42262887800004,19.91128056600008,0.0443,0.081,0.0496,0.052,0.0353,0.0472,0.0627,0.0381
open water,105.42309828200004,19.911353994000024,0.0435,0.0794,0.0602,0.0853,0.0841,0.1666,0.1316,0.0753
open water,105.42216045200009,19.91132684400004,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42280605700005,19.91152941300004,0.0623,0.0973,0.0937,0.0982,0.182,0.1534,0.1023,0.0718
open water,105.42310596700008,19.91133301400004,0.0473,0.0825,0.0628,0.0853,0.0809,0.1666,0.1316,0.0753
open water,105.42249973600008,19.911361476000025,0.046,0.0796,0.0572,0.0719,0.0554,0.0762,0.0827,0.0525
open water,105.42238864300003,19.91145969300004,0.0665,0.095,0.0949,0.1263,0.1638,0.2331,0.1479,0.1016
open water,105.42235888300009,19.911186523000023,0.0556,0.098,0.0964,0.1388,0.1176,0.1787,0.199,0.1367
open water,105.42300332900004,19.911453171000066,0.0434,0.0817,0.0616,0.0826,0.0464,0.0787,0.0683,0.0488
open water,105.42244839800009,19.91126490100004,0.0486,0.0822,0.0546,0.0719,0.0385,0.0762,0.0827,0.0525
open water,105.42292573400005,19.911474656000053,0.0438,0.0845,0.0568,0.0826,0.0429,0.0787,0.0683,0.0488
open water,105.42273940400008,19.911489136000057,0.0474,0.0828,0.0634,0.0982,0.0953,0.1534,0.1023,0.0718
open water,105.42263781400004,19.911298459000022,0.0443,0.081,0.0496,0.052,0.0353,0.0472,0.0627,0.0381
open water,105.42278909100008,19.911317144000066,0.0439,0.0756,0.0492,0.0494,0.032,0.0387,0.0522,0.0348
open water,105.42239490000009,19.911317895000025,0.0483,0.08,0.0647,0.0719,0.0396,0.0762,0.0827,0.0525
open water,105.42248238500008,19.911214984000026,0.0535,0.0857,0.057,0.1388,0.0881,0.1787,0.199,0.1367
